dropout	middle	kn_num	lr	acc			max_dev_acc		test_time		epochs
0	6	100	0.001	7.540255071639031%	1.2945905208507784%	1359.2758178710938	64
0	6	100	0.002	9.874698527867546%	5.4261337203892905%	1365.785837173462	64
0	6	100	0.005	0.0%			0%			1339.4808769226074	64
0	6	100	0.01	30.467006558555845%	24.265457359524277%	1391.7629718780518	64
0	6	100	0.05	5.1669960384749105%	4.990210332225729%	1367.0096397399902	64
0	6	100	0.1	4.735338824478933%	6.497422558638745%	1375.6544589996338	64
0	6	100	0.001	8.78226559564588%	4.877928506298967%	1331.1471939086914	128
0	6	100	0.002	14.135184535318096%	15.64870119205203%	1321.6891288757324	128
0	6	100	0.005	30.467006558555845%	24.265457359524277%	1342.5374031066895	128
0	6	100	0.01	23.648419971774594%	24.179986241508285%	1374.8085498809814	128
0	6	100	0.05	6.800703158694945%	12.458898289470712%	1374.9141693115234	128
0	6	100	0.1	15.523315090587195%	20.363239772613323%	1377.25830078125	128
0	6	100	0.001	17.210974037163933%	14.078628427091651%	1367.8972721099854	256
0	6	100	0.002	19.10715314461065%	19.14164435674197%	1358.457326889038	256
0	6	100	0.005	30.467006558555845%	24.265457359524277%	1379.084587097168	256
0	6	100	0.01	3.6208848532792195%	5.263665872387012%	1561.0289573669434	256
0	6	100	0.05	4.844699395237924%	10.214267781931792%	1480.1630973815918	256
0	6	100	0.1	16.532369517886686%	21.49643313910094%	1451.1795043945312	256
0	6	100	0.001	20.336122365716253%	19.320285567036162%	1577.092170715332	512
0	6	100	0.002	21.265602426184333%	22.666323403109164%	1664.0419960021973	512
0	6	100	0.005	30.467006558555845%	24.265457359524277%	1449.1798877716064	512
0	6	100	0.01	30.467006558555845%	24.265457359524277%	1463.176965713501	512
0	6	100	0.05	18.160668552795432%	20.718050122453967%	1522.125244140625	512
0	6	100	0.1	0.0%			0%			1394.911527633667	512
0	7	100	0.001	1.3942239294351968%	1.6686205549042592%	1593.0836200714111	64
0	7	100	0.001	3.4604173864737238%	1.288728856138%		1428.178071975708	64
0	7	100	0.001	8.778673725856828%	4.885557974655281%	1486.14501953125	128
0	7	100	0.001	13.045423749964291%	10.164452259997399%	1449.167251586914	256
0	7	100	0.001	18.637316207220923%	17.94721625905681%	1428.18021774292	512
0	7	100	0.002	16.884332841119626%	24.265457359524277%	1472.1713066101074	64
0	7	100	0.002	16.355764679890477%	24.265457359524277%	1465.1753902435303	128
0	7	100	0.002	18.37686718929043%	24.265457359524277%	1525.1219272613525	256
0	7	100	0.002	15.87432329072332%	24.265457359524277%	1446.1688995361328	512
0	7	100	0.005	0.0%			0%			1430.178165435791	64
0	7	100	0.005	0.0%			0%			1420.1834201812744	128
